Item Code,Count 1,Count 2,Count 3,Theoretical
CSLF-M2500,0.00,0.00,0.00,0.00
CSLF-M2700,0.00,0.00,0.00,0.00
CSLF-M3000,0.00,0.00,0.00,0.00
CSLF-M3050,0.00,0.00,0.00,0.00
CSLF-M5100,0.00,0.00,0.00,0.00
CSLF-M5400,0.00,0.00,0.00,0.00
CSLF-M6100,0.00,0.00,0.00,0.00
CSLF-M6300,7.00,7.00,7.00,7.00
CSL-KIT,1.00,1.00,1.00,1.00
CSL-SHIM,0.00,0.00,0.00,18.00
CSL-SKIT,0.00,0.00,0.00,0.00
CSLT-1000B,3.00,3.00,3.00,1.00
CSLT-1000N,0.00,0.00,0.00,1.00
CSLT-1500B,0.00,0.00,0.00,0.00
CSLT-1500N,1.00,1.00,1.00,1.00
CSLT-2000B,127.00,127.00,127.00,131.00
CSLT-2000BR,0.00,0.00,0.00,0.00
CSLT-2000N,48.00,48.00,48.00,48.00
CSLT-2390N,0.00,0.00,0.00,0.00
CSLT-2500B,0.00,0.00,0.00,0.00
CSLT-2500N,0.00,0.00,0.00,1.00
CSLT-2700N,0.00,0.00,0.00,0.00
CSLT-3000B,9.00,9.00,9.00,9.00
CSLT-3000N,3.00,3.00,3.00,1.00
CSLT-3050N,0.00,0.00,0.00,0.00
CSLT-3500N,0.00,0.00,0.00,1.00
CSLT-5100N,25.00,25.00,25.00,25.00
CSLT-5400N,9.00,9.00,9.00,9.00
CSLT-6100N,34.00,34.00,34.00,35.00
CSLT-M1000,1.00,1.00,1.00,0.00
CSLT-M1050,0.00,0.00,0.00,1.00
CSLT-M1500,0.00,0.00,0.00,0.00
CSLT-M2000,3.00,3.00,3.00,0.00
CSLT-M2500,0.00,0.00,0.00,0.00
CSLT-M2700,0.00,0.00,0.00,0.00
CSLT-M3000,0.00,0.00,0.00,0.00
CSLT-M3050,0.00,0.00,0.00,0.00
CSLT-M5100,44.00,44.00,44.00,44.00
CSLT-M6100,0.00,0.00,0.00,0.00
CSLT-M6300,20.00,20.00,20.00,24.00
CSLT-NAT-PM,0.00,0.00,0.00,0.00
CSL-WKIT,0.00,0.00,0.00,0.00
DDH-802-180,0.00,0.00,0.00,0.00
DK-201,2090.00,2090.00,2090.00,2101.00
DK-201A,1837.00,1837.00,1837.00,1737.00
DK-201-B,0.00,0.00,0.00,0.00
DK-201-H300,200.00,200.00,200.00,203.00
DK201-H300S,0.00,0.00,0.00,0.00
DK-201-H305,30.00,30.00,30.00,27.00
DK201-H305S,0.00,0.00,0.00,12.00
DK-201-H400,110.00,110.00,110.00,106.00
DK201-H400S,19.00,19.00,19.00,19.00
DK-201-H425,89.00,89.00,89.00,91.00
DK-201-H600,144.00,144.00,144.00,139.00
DK201-H600S,1.00,1.00,1.00,1.00
DK-201-S,148.00,148.00,148.00,148.00
DK-201Z,0.00,0.00,0.00,0.00
DK-203,478.00,478.00,478.00,479.00
DK-204,340.00,340.00,340.00,338.00
DK-204A,1009.00,1009.00,1009.00,1011.00
DK-204L,215.00,215.00,215.00,217.00
DK-204-S,45.00,45.00,45.00,45.00
DK-205,11.00,11.00,11.00,12.00
DK209,0.00,0.00,0.00,0.00
DK-209,37.00,37.00,37.00,38.00
DK-209W,19.00,19.00,19.00,19.00
DK-213,72.00,72.00,72.00,72.00
DK-213A,1229.00,1229.00,1229.00,1330.00
DK-215,54.00,54.00,54.00,52.00
DK-231,0.00,0.00,0.00,0.00
DK-232,32.00,32.00,32.00,33.00
DK-232-H400,44.00,44.00,44.00,44.00
DK-232-H425,1.00,1.00,1.00,1.00
DK-232-H600,3.00,3.00,3.00,8.00
DK-232L,4.00,4.00,4.00,4.00
DK-MDSH,199.00,199.00,199.00,199.00
DL-001P,3.00,3.00,3.00,3.00
DL-001-S,0.00,0.00,0.00,0.00
DL-002P,5.00,5.00,5.00,6.00
DL-002-S,0.00,0.00,0.00,0.00
