Item Code,Bin
ARE-RB-M5100,Metal Bulk 5
ARE-RB-M7200,Metal Bulk 5
ARE-RC-21BL,Metal Bulk 5
ARE-RC-21BR,Metal Bulk 5
ARE-RC-21CH,Metal Bulk 5
ARE-RC-30BL,Metal Bulk 5
ARE-RC-30BR,Metal Bulk 5
ARE-RC-30CH,Metal Bulk 5
ARE-RC-30WH,Metal Bulk 5
ARE-RC-36BR,Metal Bulk 5
ARE-RC-5100CC,Metal Bulk 5
ARE-TR-21BL,Metal Bulk 5
ARE-TR-21BR,Metal Bulk 5
ARE-TR-21CH,Metal Bulk 5
ARE-TR-21N,Metal Bulk 5
ARE-TR-21WH,Metal Bulk 5
ARE-TR-30BL,Metal Bulk 5
ARE-TR-36BR,Metal Bulk 5
ARE-TR-51BR,Metal Bulk 5
ARE-TR-51CH,Metal Bulk 5
ARE-TR-51N,Metal Bulk 5
ARE-TR-51WH,Metal Bulk 5
ARE-TR-72BL,Metal Bulk 5
ARE-TR-72CH,Metal Bulk 5
ARE-TR-72N,Metal Bulk 5
ARE-TR-72WH,Metal Bulk 5
BHDR-2000MB,Metal Bulk 5
BHDR-2500B,Metal Bulk 5
BHDR-3000N,Metal Bulk 5
SB25-1500N,Metal Bulk 5
SB25-2000N,Metal Bulk 5
SB25-3000N,Metal Bulk 5
I-CHL-8-20MB,Metal Bulk 5
SB25-6000N,Metal Bulk 5
I-CHL-8-30BR,Metal Bulk 5
I-CHL-8-30N,Metal Bulk 5
SLHR-2500B,Metal Bulk 5
SLHR-2500N,Metal Bulk 5
U-CHL-10-20MB,Metal Bulk 5
CLV-SIDK-3000,Metal Bulk 5
CLV-SIDK-6000,Metal Bulk 5
EHDR-2000B,Metal Bulk 5
EHDR-2500B,Metal Bulk 5
MCP-3001N,Metal Bulk 5
SLHR-3000B,Metal Bulk 5
SLHR-3000N,Metal Bulk 5
EHDR-3000B,Metal Bulk 5
DLS-HDR-2500N  ,Metal Bulk 5
I-CHL-8-30B,Metal Bulk 5
ARE-BL-M3000,Metal Bulk 6
ARE-CC-51N,Metal Bulk 6
ARE-CC-M5100,Metal Bulk 6
ARE-EP-M3150,Metal Bulk 6
ARE-RB-M2100,Metal Bulk 6
ARE-RB-M3000,Metal Bulk 6
ARE-RB-M5100,Metal Bulk 6
ARE-RB-M7200,Metal Bulk 6
ARE-RC-21BL,Metal Bulk 6
ARE-RC-21BR,Metal Bulk 6
ARE-RC-21CH,Metal Bulk 6
ARE-RC-30BL,Metal Bulk 6
ARE-RC-30BR,Metal Bulk 6
ARE-RC-30CH,Metal Bulk 6
ARE-RC-30WH,Metal Bulk 6
ARE-RC-36BR,Metal Bulk 6
ARE-RC-5100CC,Metal Bulk 6
ARE-TR-21BL,Metal Bulk 6
ARE-TR-21BR,Metal Bulk 6
ARE-TR-21CH,Metal Bulk 6
ARE-TR-21N,Metal Bulk 6
ARE-TR-21WH,Metal Bulk 6
ARE-TR-30BL,Metal Bulk 6
ARE-TR-36BR,Metal Bulk 6
ARE-TR-51BR,Metal Bulk 6
ARE-TR-51CH,Metal Bulk 6
ARE-TR-51N,Metal Bulk 6
ARE-TR-51WH,Metal Bulk 6
ARE-TR-72BL,Metal Bulk 6
ARE-TR-72CH,Metal Bulk 6
ARE-TR-72N,Metal Bulk 6
ARE-TR-72WH,Metal Bulk 6
BHDR-2000MB,Metal Bulk 6
BHDR-2500B,Metal Bulk 6
BHDR-3000N,Metal Bulk 6
DLS-HDR-2500N  ,Metal Bulk 6
DLS-HDR-3000B,Metal Bulk 6
SB25-1500N,Metal Bulk 6
SB25-2000N,Metal Bulk 6
SB25-3000N,Metal Bulk 6
I-CHL-8-20MB,Metal Bulk 6
SB25-6000N,Metal Bulk 6
I-CHL-8-30B,Metal Bulk 6
I-CHL-8-30BR,Metal Bulk 6
SLHR-2500B,Metal Bulk 6
SLHR-2500N,Metal Bulk 6
U-CHL-10-20MB,Metal Bulk 6
CLV-SIDK-3000,Metal Bulk 6
CLV-SIDK-6000,Metal Bulk 6
EHDR-2000B,Metal Bulk 6
EHDR-2500B,Metal Bulk 6
MCP-3001N,Metal Bulk 6
SLHR-3000B,Metal Bulk 6
SLHR-3000N,Metal Bulk 6
EHDR-3000B,Metal Bulk 6
I-CHL-8-30N,Metal Bulk 6
BW-I15,Patch Fitting
BW-I19,Patch Fitting
BW-I25,Patch Fitting
HDR-HR90,Bulk Hardware 1
TCG-10PM,Bulk Hardware 1
TCG-8PM,Bulk Hardware 1
TCG-CPM,Bulk Hardware 1
HDR-HRR,Bulk Hardware 1
HDR-HRW,Bulk Hardware 1
TCG-10PM,Bulk Hardware 2
TCG-8PM,Bulk Hardware 2
TCG-CPM,Bulk Hardware 2
HDR-HR90,Bulk Hardware 2
HDR-HRR,Bulk Hardware 2
HDR-HRW,Bulk Hardware 2
P4140C         ,Bulk Hardware 2
SL-TOOL,Bulk Hardware 2
WP-6712,Loose Seals
WP-676F,Loose Seals
BHDR-2000MB,Metal on Rack next to seal 
BHDR-2500B,Metal on Rack next to seal 
BHDR-3000N,Metal on Rack next to seal 
CSLF-2000MB,Metal on Rack next to seal 
CSLF-2500B,Metal on Rack next to seal 
