Code,Bin Name,COUNT 1,COUNT 2,COUNT 3
GC-796,Bulk Hardware 2,,,
GC-401,Bulk Hardware 1,,,
GC-401,Bulk Hardware 2,,,
GC-401,Hardware 2,,,
GC-402,Bulk Hardware 1,,,
GC-402,Bulk Hardware 2,,,
GC-402,Hardware 2,,,
GC-403,Bulk Hardware 1,,,
GC-403,Bulk Hardware 2,,,
GC-403,Hardware 2,,,
GC-404,Bulk Hardware 1,,,
GC-404,Bulk Hardware 2,,,
GC-404,Hardware 2,,,
GC-405,Hardware 2,,,
GC-405,Bulk Hardware 1,,,
GC-405,Bulk Hardware 2,,,
GC-406,Bulk Hardware 1,,,
GC-406,Bulk Hardware 2,,,
GC-406,Hardware 2,,,
GC-407,Bulk Hardware 1,,,
GC-407,Bulk Hardware 2,,,
GC-407,Hardware 2,,,
GC-501,Bulk Hardware 1,,,
GC-501,Bulk Hardware 2,,,
GC-501,Hardware 2,,,
GC-501-D,Bulk Hardware 1,,,
GC-501-D,Bulk Hardware 2,,,
GC-501-D,Hardware 2,,,
GC-502,Bulk Hardware 1,,,
GC-502,Bulk Hardware 2,,,
GC-502,Hardware 2,,,
GC-503,Hardware 2,,,
GC-503,Bulk Hardware 1,,,
GC-503,Bulk Hardware 2,,,
GC-504,Hardware 2,,,
GC-504,Bulk Hardware 1,,,
GC-504,Bulk Hardware 2,,,
GC-505,Hardware 2,,,
GC-505,Bulk Hardware 1,,,
GC-505,Bulk Hardware 2,,,
GC-506,Hardware 2,,,
GC-506,Bulk Hardware 1,,,
GC-506,Bulk Hardware 2,,,
GC-701,Hardware 2,,,
GC-701,Bulk Hardware 2,,,
GC-701,Bulk Hardware 1,,,
GC-701-D,Hardware 2,,,
GC-701-D,Bulk Hardware 1,,,
GC-701-D,Bulk Hardware 2,,,
GC-702,Bulk Hardware 1,,,
GC-702,Bulk Hardware 2,,,
GC-702,Hardware 2,,,
GC-703,Hardware 2,,,
GC-703,Bulk Hardware 1,,,
GC-703,Bulk Hardware 2,,,
GC-704,Hardware 2,,,
GC-704,Bulk Hardware 1,,,
GC-704,Bulk Hardware 2,,,
GC-705,Hardware 2,,,
GC-705,Bulk Hardware 1,,,
GC-705,Bulk Hardware 2,,,
GC-705W,Bulk Hardware 1,,,
GC-705W,Bulk Hardware 2,,,
GC-705W,Hardware 2,,,
GC-706,Bulk Hardware 1,,,
GC-706,Bulk Hardware 2,,,
GC-706,Hardware 2,,,
GC-901,Hardware 2,,,
GC-901,Bulk Hardware 1,,,
GC-901,Bulk Hardware 2,,,
GC-902,Hardware 2,,,
GC-902,Bulk Hardware 1,,,
GC-902,Bulk Hardware 2,,,
GC-903,Hardware 2,,,
GC-903,Bulk Hardware 1,,,
GC-903,Bulk Hardware 2,,,
GC-904,Hardware 2,,,
GC-904,Bulk Hardware 1,,,
GC-904,Bulk Hardware 2,,,
GC-905,Hardware 2,,,
GC-905,Bulk Hardware 1,,,
GC-905,Bulk Hardware 2,,,
GC-906,Bulk Hardware 1,,,
GC-906,Bulk Hardware 2,,,
GC-906,Hardware 2,,,
GC-801,Bulk Hardware 2,,,
GC-801-D,Bulk Hardware 2,,,
GC-802,Bulk Hardware 2,,,
GC-803,Bulk Hardware 1,,,
GC-803,Bulk Hardware 2,,,
GC-803,Hardware 2,,,
GC-804,Bulk Hardware 1,,,
GC-804,Bulk Hardware 2,,,
GC-804,Hardware 2,,,
GC-805,Hardware 2,,,
GC-805,Bulk Hardware 1,,,
GC-805,Bulk Hardware 2,,,
GC-805W,Bulk Hardware 1,,,
GC-805W,Bulk Hardware 2,,,
GC-805W,Hardware 2,,,
GC-806,Bulk Hardware 1,,,
GC-806,Bulk Hardware 2,,,
GC-806,Hardware 2,,,
GC-807,Bulk Hardware 1,,,
GC-807,Bulk Hardware 2,,,
GC-807,Hardware 2,,,
GC-811,Hardware 4,,,
GC-811,Bulk Hardware 1,,,
GC-812,Hardware 4,,,
GC-812,Bulk Hardware 1,,,
GC-813,Hardware 4,,,
GC-813,Bulk Hardware 1,,,
GC-814,Hardware 4,,,
GC-814,Bulk Hardware 1,,,
GC-815,Hardware 4,,,
GC-815,Bulk Hardware 1,,,
GC-816,Hardware 4,,,
GC-816,Bulk Hardware 1,,,
GC-817,Hardware 4,,,
GC-817,Bulk Hardware 1,,,
GC-711,Hardware 4,,,
GC-711,Bulk Hardware 1,,,
GC-711-D,Hardware 4,,,
GC-712,Hardware 4,,,
GC-712,Bulk Hardware 1,,,
GC-713,Hardware 4,,,
GC-713,Bulk Hardware 1,,,
GC-714,Hardware 4,,,
GC-714,Bulk Hardware 1,,,
GC-716,Hardware 4,,,
GC-716,Bulk Hardware 1,,,
GC-781,Hardware 4,,,
GC-782,Hardware 4,,,
GC-783,Hardware 4,,,
GC-784,Hardware 4,,,
GC-785,Hardware 4,,,
GC-786,Hardware 4,,,
SDH-811-360,Hardware 4,,,
SDH-811-360,Bulk Hardware 1,,,
SDH-811-360,Bulk Hardware 2,,,
SDH-811-90HP,Hardware 4,,,
SDH-811-90HP,Bulk Hardware 1,,,
SDH-811-90HP,Bulk Hardware 2,,,
SDH-812-135,Hardware 4,,,
SDH-812-135,Bulk Hardware 1,,,
SDH-812-135,Bulk Hardware 2,,,
SDH-812-180,Hardware 4,,,
SDH-812-180,Bulk Hardware 1,,,
SDH-812-180,Bulk Hardware 2,,,
SDH-812-90,Hardware 4,,,
SDH-812-90,Bulk Hardware 1,,,
SDH-812-90,Bulk Hardware 2,,,
GDH-602,Hardware 2,,,
GDH-602,Bulk Hardware 1,,,
GDH-602,Bulk Hardware 2,,,
GDH-603,Hardware 2,,,
GDH-603,Bulk Hardware 1,,,
GDH-603,Bulk Hardware 2,,,
GDH-604,Hardware 2,,,
GDH-604,Bulk Hardware 1,,,
GDH-604,Bulk Hardware 2,,,
SDH-901-90HP,Hardware 2,,,
SDH-901-90HP,Bulk Hardware 1,,,
SDH-901-90HP,Bulk Hardware 2,,,
SDH-902-135,Hardware 2,,,
SDH-902-135,Bulk Hardware 1,,,
SDH-902-135,Bulk Hardware 2,,,
SDH-902-180,Hardware 2,,,
SDH-902-180,Bulk Hardware 1,,,
SDH-902-180,Bulk Hardware 2,,,
SDH-902-90,Hardware 2,,,
SDH-902-90,Bulk Hardware 1,,,
SDH-902-90,Bulk Hardware 2,,,
SDH-801-135,Hardware 2,,,
SDH-801-135,Bulk Hardware 1,,,
SDH-801-135,Bulk Hardware 2,,,
SDH-801-360,Hardware 2,,,
SDH-801-360,Bulk Hardware 1,,,
SDH-801-360,Bulk Hardware 2,,,
M10-DN,Hardware 4,,,
M4*6-GS,Hardware 3,,,
M5*25-CSA,Hardware 3,,,
M5*6-GS,Hardware 3,,,
M6*12-CSA,Hardware 3,,,
M6*16-CSA-B,Hardware 3,,,
M6*25-GS-B,Hardware 3,,,
M6*50-GS-B,Hardware 3,,,
M6*40-HCS,Hardware 4,,,
M6*10-CSA,Hardware 3,,,
M6*55-RB,Hardware 4,,,
M6*6-GS,Hardware 3,,,
M8*14-GS-P,Hardware 4,,,
M8*20-HB,Hardware 4,,,
M8*25-CSA,Hardware 3,,,
M8*25-HB,Hardware 4,,,
M8*30-DA,Hardware 4,,,
M8*4-NUT,Hardware 4,,,
M8*65-RBS,Hardware 4,,,
M8*80-HB,Hardware 4,,,
N10*38-CSP,Hardware 3,,,
N10*50-CSP,Hardware 3,,,
N10*50-CSP-B,Hardware 3,,,
N12*100-CSP,Hardware 3,,,
N6*30-STP,Hardware 3,,,
N8*38-CSP,Hardware 3,,,
N8*38-CSP-B,Hardware 3,,,
S6*30-PLUG,Hardware 3,,,
S8*40-PLUG,Hardware 3,,,
BWG-1,Bulk Hardware 1,,,
BWG-1,Bulk Hardware 2,,,
BWG-2,Bulk Hardware 1,,,
BWG-2,Bulk Hardware 2,,,
BWG-3,Bulk Hardware 1,,,
BWG-3,Bulk Hardware 2,,,
M6*12-SB,Hardware 4,,,
PT-02*6-50,Hardware 3,,,
PT-08*8-60,Hardware 3,,,
PT-20*7-18,Hardware 3,,,
PT-20*9-18,Hardware 3,,,
